"asd","suko_ref","shaker_ref","triv_ref",ShaKer,"Thermoynamic Model"
0,0.9585001207119278,0.9781422555467569,0.9502671543043291,0.974248955179164,0.975395518428428
1,0.7659424794492298,0.7801320952664761,0.7362955250072332,0.9782490282285495,0.978867335082648
2,0.3250929809449484,0.29415343342343153,0.26013103492853423,0.5509624722116991,0.5208048362608126
3,0.9467176621076345,0.956562668661543,0.925426372302691,0.9086262684255476,0.8477480852173506
4,0.8361477734688765,0.9667795836077849,0.9737285648742824,0.9665448103311634,0.8776536919360108
5,0.9523171935545304,0.957053315112905,0.9316856692596315,0.9721621302792667,0.9787658003293115
6,0.9112681970884658,0.8713465845464725,0.7535614186684269,0.8529955207166854,0.9051791713325867
7,0.9559957866640135,0.9781502821860473,0.9452448326198656,0.9767202036391224,0.9481185426706563
8,0.9182926532892828,0.9754687399638634,0.9503180132230846,0.4646962717839349,0.5503898715020996
9,0.8843856823708861,0.9547194740743127,0.957855819870618,0.8293287357803486,0.7936418420289388
10,0.8681722796979237,0.9501004826786397,0.9316539796339418,0.9379485708131515,0.6318883375619514
11,0.9135331429746355,0.9311141660905458,0.9056640295063847,0.7099292608433411,0.8603287396561743
12,0.9838982903309742,0.9865193884689007,0.9781581153775315,0.9865466833638588,0.9114153799123752
13,0.9522752812984536,0.9495785769792168,0.8720943360332969,0.944221974664101,0.9609741179056566
